P (Pa), T (K), S (J/K/kg), rho (kg/m^3), Pe, Te, Se, rho_e  
224535749934.0,5825.12803223,3922.046615,5704.92617893,2041974825.18,374.508220987,606.982259659,41.9090144141,
225421411192.0,5853.92446492,3930.13815507,5708.91051481,2045467608.06,373.494673954,606.851604664,41.9095077308,
226304434753.0,5883.27868105,3938.07054638,5712.92970163,2049077896.26,372.505160309,606.722549642,41.9121399951,
227183631580.0,5912.11322378,3946.10694277,5716.95501681,2052803964.74,371.539795587,606.595075656,41.9168689668,
228070331986.0,5941.96902159,3954.1220169,5720.92288536,2056644076.09,370.598690378,606.46914619,41.9236524752,
228960948247.0,5972.21433796,3961.76283785,5724.92513647,2060596481.92,369.681950213,606.344707036,41.9324484423,
229850695981.0,6001.98244618,3969.48785587,5728.92254886,2064659424.21,368.789675456,606.221728686,41.9432149055,
230736755709.0,6032.34828506,3977.16209874,5732.985047,2068831136.7,367.921961195,606.100188861,41.9559100393,
231634004829.0,6062.45473289,3984.92335412,5737.03611359,2073109846.15,367.07889714,605.980104303,41.970492177,
232532059088.0,6092.16224546,3992.76805784,5741.06685487,2077493773.69,366.260567523,605.861424966,41.986919831,
233430339216.0,6122.57560707,4000.9316099,5744.94702605,2081981136.06,365.467051002,605.744115497,42.0051517132,
234327011364.0,6154.52977228,4009.13187688,5748.97760574,2086570146.85,364.69842057,605.628174423,42.0251467539,
235227096174.0,6183.80040177,4016.95370097,5752.86118021,2091259017.72,363.954743472,605.513591179,42.0468641207,
236125903884.0,6213.97732739,4024.6438661,5756.77480075,2096045959.55,363.236081118,605.400356109,42.0702632363,
237027038655.0,6244.9705611,4032.10829521,5760.67606812,2100929183.6,362.542489008,605.288411641,42.095303796,
237933309940.0,6275.24724398,4039.64892093,5764.54439757,2105906902.64,361.874016663,605.177735407,42.1219457838,
238842455045.0,6305.85648318,4046.85974562,5768.50274303,2110977331.98,361.230707555,605.068311987,42.1501494886,
239746704847.0,6337.08936051,4054.53940087,5772.42945357,2116138690.56,360.612599048,604.960105838,42.1798755191,
240658620876.0,6368.12323649,4062.4779468,5776.36116168,2121389201.92,360.019722345,604.853135241,42.2110848185,
241567884580.0,6398.5869468,4070.09314764,5780.27874422,2126727095.21,359.452102435,604.747367771,42.243738678,
242484421785.0,6429.69921069,4077.45211254,5784.26643304,2132150606.12,358.909758054,604.642796197,42.2777987502,
243399166474.0,6461.25978779,4085.38424274,5788.12546329,2137657977.78,358.392701648,604.539415251,42.3132270609,
244315425313.0,6493.38238816,4093.33001766,5792.00717688,2143247461.61,357.90093934,604.437175241,42.3499860214,
245228960194.0,6525.43368948,4100.95381298,5795.91080774,2148917318.23,357.434470912,604.336077892,42.3880384393,
246152354128.0,6557.20588104,4108.25171167,5799.71225224,2154665818.17,356.993289781,604.236103546,42.4273475288,
247074080165.0,6588.82015786,4115.83294483,5803.5853107,2160491242.71,356.577382995,604.137256912,42.4678769208,
247995103803.0,6619.93328798,4123.52601973,5807.40063677,2166391884.57,356.186731228,604.039492426,42.5095906716,
248917960654.0,6651.93459679,4131.23760029,5811.30240466,2172366048.65,355.821308779,603.942799975,42.5524532714,
249839321456.0,6684.36329475,4138.35940685,5815.25616398,2178412052.66,355.481083589,603.847163086,42.5964296528,
250767949729.0,6715.21469485,4145.67253438,5819.07465998,2184528227.78,355.166017255,603.752575918,42.6414851972,
251699584861.0,6746.85964711,4153.12317723,5822.91968751,2190712919.26,354.876065052,603.659022863,42.6875857424,
252630523551.0,6778.3045372,4160.68211564,5826.78187194,2196964487.0,354.611175967,603.566487199,42.7346975878,
253564158972.0,6810.55647488,4168.13889459,5830.64644691,2203281306.05,354.371292738,603.474964943,42.7827875011,
254498277246.0,6842.31385863,4175.79710887,5834.52552393,2209661767.19,354.156351893,603.384441196,42.8318227223,
255430818926.0,6875.06724664,4183.43863736,5838.36528259,2216104277.35,353.966283807,603.294900839,42.881770969,
256365327625.0,6907.7032316,4190.76541282,5842.26620817,2222607260.09,353.801012757,603.206331155,42.93260044,
257302872396.0,6940.1247692,4198.29689428,5846.12496407,2229169156.02,353.660456985,603.118723364,42.9842798192,
258243045040.0,6972.52148107,4205.68346868,5849.83320284,2235788423.2,353.544528775,603.032053611,43.0367782783,
259187850915.0,7004.83804495,4213.28585283,5853.68453592,2242463537.48,353.453134523,602.946307106,43.0900654797,
260132491612.0,7038.64281229,4220.73620692,5857.47572839,2249192992.91,353.386174824,602.861478394,43.1441115786,
261080954167.0,7071.25892128,4227.94096514,5861.33359548,2255975301.98,353.343544561,602.777553489,43.1988872246,
262028059840.0,7104.36362383,4235.44965078,5865.16812013,2262808995.96,353.325132999,602.694503445,43.2543635633,
262976947786.0,7137.90359002,4242.78344197,5868.98871299,2269692625.16,353.330823887,602.612319256,43.3105122373,
263925307913.0,7170.61402824,4249.92189362,5872.80468473,2276624759.18,353.360495562,602.530986348,43.3673053863,
264877421042.0,7204.03553451,4257.21664875,5876.61723432,2283603987.11,353.414021063,602.450530077,43.4247156477,
265825218290.0,7237.22361036,4264.49474965,5880.51267649,2290628917.78,353.491268243,602.370922,43.4827161566,
266778286106.0,7270.638792,4271.58344323,5884.32615451,2297698179.88,353.592099896,602.292161438,43.5412805449,
267734312646.0,7304.33882769,4278.75390629,5888.16085843,2304810422.17,353.716373877,602.214219412,43.6003829409,
268689067772.0,7338.27872257,4285.76664782,5891.89206805,2311964313.61,353.863943231,602.137121404,43.659997968,
269650586614.0,7371.76527038,4292.8634221,5895.64263282,2319158543.49,354.034656332,602.060849493,43.7201007433,
270613050521.0,7405.33861179,4300.05360713,5899.40196827,2326391821.49,354.228357016,601.985395308,43.7806668761,
271575436977.0,7438.98651489,4307.10037179,5903.22536047,2333662877.85,354.444884722,601.910753294,43.8416724661,
272535537524.0,7473.26291801,4314.01544141,5906.95608551,2340970463.38,354.684074637,601.836904269,43.9030941008,
273498032823.0,7506.96718045,4321.05368069,5910.7326431,2348313349.53,354.94575784,601.763839372,43.9649088536,
274468124719.0,7541.27882356,4328.51437319,5914.46150174,2355690328.45,355.229761456,601.691523062,44.027094281,
275435699157.0,7574.9981752,4335.66175462,5918.21176561,2363100213.01,355.535908801,601.619976408,44.0896284196,
276408428933.0,7608.79681331,4342.60681055,5921.94577223,2370541836.8,355.864019544,601.549181804,44.1524897836,
277379130754.0,7642.95084745,4349.54040082,5925.71648733,2378014054.15,356.213909852,601.479163165,44.2156573608,
278352894409.0,7676.30989047,4356.57669996,5929.37777847,2385515740.11,356.585392556,601.409902744,44.2791106101,
279326017522.0,7711.42318483,4363.70239047,5933.14924126,2393045790.44,356.978277303,601.341374513,44.3428294574,
280299076435.0,7746.23032332,4370.84643052,5936.84185741,2400603121.56,357.392370717,601.273542233,44.4067942921,
281280508775.0,7781.01311518,4377.98352065,5940.55969203,2408186670.5,357.827476559,601.206405972,44.4709859633,
282264937984.0,7816.32682172,4385.16437652,5944.26871625,2415795394.88,358.283395887,601.139967967,44.5353857758,
283240709553.0,7850.54150736,4392.04467242,5947.96903373,2423428272.8,358.759927213,601.074215195,44.5999754859,
284222392095.0,7885.83201267,4399.03629977,5951.61807888,2431084302.81,359.256866667,601.009125047,44.6647372974,
285201537294.0,7920.78793007,4406.0651392,5955.35145319,2438762503.8,359.774008154,600.944694409,44.7296538573,
286186516120.0,7956.41683337,4413.00614071,5959.072288,2446461914.92,360.311143514,600.880925266,44.7947082511,
287175600890.0,7991.48205872,4419.64508019,5962.77322647,2454181595.49,360.86806268,600.817831093,44.859883999,
288161596221.0,8026.1980603,4426.68303435,5966.49185726,2461920624.89,361.444553834,600.755421637,44.9251650503,
289151306949.0,8061.0458638,4433.57652424,5970.1640831,2469678102.42,362.040403565,600.693650676,44.9905357797,
290142236486.0,8096.74715694,4440.35555182,5973.80259312,2477453147.27,362.65539702,600.632517507,45.0559809822,
291135355942.0,8132.3686557,4447.28338548,5977.51571565,2485244898.27,363.289318062,600.572008836,45.1214858683,
292133362000.0,8166.9356673,4454.19127056,5981.27320343,2493052513.89,363.941949416,600.512154005,45.1870360592,
293126966115.0,8202.53863846,4461.4017509,5984.98067138,2500875172.0,364.613072819,600.452918376,45.2526175823,
294119689483.0,8238.2020019,4468.32934412,5988.71990399,2508712069.82,365.302469169,600.394315698,45.3182168657,
295120081011.0,8274.1244797,4475.32227926,5992.36212665,2516562423.71,366.009918666,600.336328945,45.3838207336,
296119456536.0,8310.06604254,4481.90965741,5996.05183299,2524425469.05,366.735200959,600.278957709,45.4494164014,
297118006719.0,8347.15291028,4488.58142099,5999.68759205,2532300460.11,367.478095281,600.222163743,45.5149914705,
298120209649.0,8383.82671431,4495.35307301,6003.29693978,2540186669.86,368.238380584,600.165984532,45.5805339235,
299126501427.0,8419.8077381,4502.10385127,6006.92352339,2548083389.82,369.015835682,600.11039526,45.6460321189,
300133942334.0,8455.79559542,4508.6945396,6010.57789769,2555989929.93,369.810239371,600.055393855,45.7114747864,
301139820007.0,8491.86778586,4515.40286035,6014.28922066,2563905618.36,370.621370565,600.000936909,45.7768510216,
302149973699.0,8529.09065425,4521.95750672,6017.95030464,2571829801.33,371.449008416,599.947052617,45.842150281,
303156448218.0,8565.59844481,4528.57231018,6021.5401142,2579761842.99,372.292932439,599.893738409,45.907362377,
304172676986.0,8602.01513818,4535.32631302,6025.1502687,2587701125.21,373.15292263,599.841007845,45.9724774729,
305187141751.0,8638.43961926,4542.03771696,6028.78500653,2595647047.41,374.028759578,599.78885903,46.0374860777,
306203105246.0,8674.97135055,4548.76490478,6032.42691015,2603599026.42,374.920224582,599.737265653,46.1023790413,
307218782969.0,8711.38781055,4555.49732464,6036.07133816,2611556496.26,375.827099757,599.686227108,46.1671475492,
308236835252.0,8748.50863944,4562.12689898,6039.66007551,2619518908.03,376.749168138,599.635739565,46.2317831178,
309257148343.0,8785.96362809,4568.83365636,6043.31330998,2627485729.63,377.686213784,599.585773248,46.2962775892,
310279379784.0,8823.68495319,4575.4359074,6046.89882162,2635456445.69,378.638021877,599.536377112,46.3606231263,
311296897524.0,8859.89474128,4582.18614762,6050.54392273,2643430557.33,379.604378814,599.48751988,46.424812208,
312320108304.0,8897.0716696,4588.9474373,6054.19334114,2651407581.99,380.585072301,599.439209462,46.4888376241,
313343906951.0,8935.13232101,4595.86576856,6057.75531508,2659387053.25,381.579891441,599.391431853,46.5526924703,
314371929397.0,8973.650799,4602.80235168,6061.34408672,2667368520.67,382.588626818,599.344187158,46.6163701438,
315405185229.0,9011.0053878,4609.50423525,6064.97225583,2675351549.58,383.611070579,599.297446234,46.679864338,
316437279741.0,9049.36739208,4616.17601979,6068.59404154,2683335720.91,384.647016512,599.251188159,46.7431690379,
317470751467.0,9086.38590843,4622.48781405,6072.15166194,2691320631.02,385.696260122,599.205439952,46.8062785154,
318505053500.0,9124.84827479,4628.87129108,6075.71756007,2699305891.5,386.758598699,599.160202278,46.8691873243,
319538570114.0,9163.17040709,4635.43817477,6079.31417683,2707291129.0,387.833831392,599.115471196,46.9318902958,
320570496089.0,9201.30998248,4641.72741489,6082.84872911,2715275985.05,388.921759266,599.071229344,46.9943825341,
321607425212.0,9240.12320246,4648.20954759,6086.35158458,2723260115.86,390.022185374,599.027462117,47.056659411,
322644677486.0,9278.20734817,4654.71778253,6089.92562808,2731243192.18,391.134914808,598.984203292,47.1187165622,
323686725028.0,9317.18187826,4661.14435316,6093.51393282,2739224899.06,392.259754756,598.941418287,47.180549882,
324730054729.0,9356.45274899,4667.7834819,6097.13649597,2747204935.74,393.396514558,598.899113297,47.2421555192,
325775432555.0,9395.13137364,4674.42450615,6100.689563,2755183015.4,394.545005755,598.85728011,47.3035298726,
326822292767.0,9434.68509934,4680.73183017,6104.25501429,2763158865.03,395.705042133,598.815904754,47.3646695864,
327868210498.0,9473.34363687,4687.34190965,6107.7802267,2771132225.23,396.87643977,598.775005568,47.4255715459,
328919022248.0,9512.40528922,4693.84363629,6111.28923645,2779102850.05,398.059017079,598.734539619,47.4862328731,
329972516713.0,9551.36515393,4700.54243479,6114.80497114,2787070506.77,399.252594842,598.694538679,47.5466509223,
331024630457.0,9590.76368706,4707.1652722,6118.3148647,2795034975.78,400.45699625,598.654965112,47.6068232761,
332076663515.0,9630.45412343,4713.72164327,6121.88064412,2802996050.35,401.672046936,598.615841843,47.6667477408,
333130000824.0,9669.55365302,4720.26662112,6125.368393,2810953536.5,402.897575004,598.577144142,47.7264223424,
334185396774.0,9708.86366734,4726.77537093,6128.9447258,2818907252.79,404.133411063,598.538874253,47.7858453224,
335243327276.0,9748.09910268,4732.98190186,6132.50409464,2826857030.15,405.379388247,598.500999491,47.8450151338,
336301144187.0,9786.53763155,4739.57541788,6136.00843622,2834802711.74,406.635342244,598.46358821,47.9039304367,
337360095235.0,9825.30072881,4746.09941966,6139.56346074,2842744152.72,407.901111317,598.426599814,47.9625900946,
338421562603.0,9864.50848215,4752.42766191,6143.07724594,2850681220.13,409.176536321,598.390020303,48.0209931701,
339486288156.0,9904.74764102,4758.66435257,6146.53213354,2858613792.68,410.461460726,598.353828193,48.0791389214,
340554940561.0,9944.37967534,4764.82217987,6150.04781866,2866541760.6,411.755730629,598.318074459,48.1370267977,
341618163245.0,9984.35814574,4771.09249877,6153.55881862,2874465025.48,413.059194768,598.282727794,48.1946564359,
342685361105.0,10024.0644839,4777.61903063,6157.03968624,2882383500.05,414.371704537,598.247791665,48.2520276567,
343749556163.0,10064.306332,4783.97742506,6160.55438712,2890297108.09,415.693113993,598.213271215,48.3091404603,
344821963237.0,10104.2763659,4790.11511699,6164.03883385,2898205784.16,417.023279869,598.179163625,48.3659950233,
345891522734.0,10144.8375251,4796.52262956,6167.53043744,2906109473.55,418.362061576,598.145446786,48.4225916945,
346968957907.0,10184.330085,4802.91785934,6171.04764504,2914008132.0,419.709321211,598.112135455,48.4789309914,
348044698494.0,10224.1829582,4809.06071093,6174.57554599,2921901725.61,421.064923562,598.079255438,48.5350135966,
349121097240.0,10264.8965945,4815.12532393,6178.13109444,2929790230.66,422.428736106,598.046771263,48.5908403539,
350200045928.0,10305.4252666,4821.50709197,6181.6436328,2937673633.42,423.800629017,598.014718982,48.6464122653,
351278786079.0,10346.175957,4827.77073119,6185.16071327,2945551929.99,425.180475159,597.983044086,48.7017304868,
352361982571.0,10386.6432061,4833.94103596,6188.70553222,2953425126.18,426.568150088,597.951738067,48.7567963253,
353445723962.0,10428.0827981,4839.95317822,6192.16650764,2961293237.28,427.96353205,597.920804065,48.8116112349,
354530734098.0,10469.81106,4846.32919706,6195.64126366,2969156287.97,429.366501972,597.890242313,48.8661768139,
355618100685.0,10510.7327056,4852.78433695,6199.0916585,2977014312.08,430.776943464,597.860078529,48.9204948009,
356708405894.0,10551.2342557,4859.12277652,6202.53683813,2984867352.51,432.194742807,597.830267152,48.9745670716,
357800025682.0,10592.5106888,4865.26327029,6205.98157331,2992715461.01,433.619788948,597.800821889,49.0283956355,
358892037029.0,10634.2957578,4871.51559194,6209.47412371,3000558698.03,435.051973492,597.771705876,49.0819826328,
359986838367.0,10675.7648372,4877.67775649,6212.93578119,3008397132.6,436.491190693,597.742936281,49.1353303308,
361082434696.0,10717.2429168,4884.02373054,6216.43879973,3016230842.12,437.937337445,597.714540548,49.1884411209,
362178142077.0,10758.6972641,4890.37214322,6219.91441568,3024059912.24,439.390313266,597.686487969,49.2413175153,
363275009549.0,10800.8172919,4896.17122591,6223.39849935,3031884436.67,440.850020296,597.658790657,49.2939621438,
364374326096.0,10842.1458468,4901.99476577,6226.9273359,3039704517.07,442.316363274,597.631439843,49.346377751,
365475102436.0,10883.3468793,4907.92084194,6230.43905601,3047520262.85,443.789249533,597.604451373,49.3985671925,
366574182355.0,10924.8728823,4913.73479951,6233.89223998,3055331791.03,445.268588983,597.577802291,49.4505334327,
367677420469.0,10966.5001965,4919.65255339,6237.29244887,3063139226.08,446.754294095,597.551493996,49.502279541,
368783415112.0,11008.2744831,4925.88958419,6240.76344445,3070942699.78,448.246279892,597.525538383,49.5538086894,
369889644998.0,11050.6320046,4931.79862717,6244.23472075,3078742351.06,449.744463925,597.499893044,49.6051241489,
370996080312.0,11092.7273476,4937.99154656,6247.68354234,3086538325.83,451.248766265,597.474585138,49.6562292871,
372106883927.0,11133.9883412,4943.98180343,6251.06264689,3094330776.86,452.759109483,597.449599239,49.7071275651,
373217880220.0,11176.5283286,4950.07531145,6254.45537445,3102119863.58,454.275418631,597.424940889,49.7578225344,
374331367978.0,11218.9803084,4956.13997981,6257.8558002,3109905751.98,455.797621229,597.40062312,49.8083178342,
375444749373.0,11261.7544295,4962.03497441,6261.28919492,3117688614.43,457.325647244,597.376624259,49.8586171887,
376559705299.0,11304.1012757,4968.12632677,6264.79332949,3125468629.52,458.859429073,597.352960641,49.9087244041,
377674983904.0,11346.5425751,4973.89356949,6268.20939278,3133245981.93,460.398901524,597.32960831,49.9586433656,
378794721165.0,11388.9262809,4979.92627572,6271.58205158,3141020862.28,461.944001798,597.306544942,50.0083780353,
379912536609.0,11432.2576566,4985.8693217,6274.98139008,3148793466.96,463.494669469,597.283801114,50.0579324487,
381032821378.0,11475.6487088,4992.07401842,6278.46197189,3156563998.0,465.050846464,597.261351931,50.1073107125,
382154332275.0,11517.9282675,4998.07527658,6281.85025396,3164332662.91,466.612477047,597.23922297,50.1565170019,
383276106652.0,11560.7338941,5003.81759659,6285.28663082,3172099674.53,468.179507791,597.217395086,50.2055555576,
384402095644.0,11604.3305161,5009.88317726,6288.71847353,3179865250.9,469.751887569,597.195885124,50.2544306834,
385527631288.0,11647.5007417,5015.93819328,6292.1726645,3187629615.09,471.329567523,597.174700337,50.3031467438,
386657657876.0,11691.139213,5021.84360492,6295.57554428,3195392995.07,472.912501051,597.153816055,50.3517081608,
387796827204.0,11734.3829736,5027.73382874,6299.01179523,3203155623.53,474.500643781,597.133232775,50.4001194121,
388932597419.0,11777.7732005,5033.54452475,6302.48685054,3210917737.78,476.093953554,597.112948476,50.448385028,
390063627330.0,11822.5617177,5039.27651709,6305.85891185,3218679579.58,477.692390402,597.092977106,50.496509589,
391197829126.0,11866.7831601,5045.13089291,6309.25779142,3226441394.99,479.295916525,597.073293753,50.5444977236,
392331821229.0,11910.2214597,5051.02449419,6312.68036169,3234203434.23,480.904496272,597.053919961,50.5923541054,
393472675459.0,11954.315443,5056.89764644,6316.011157,3241965951.53,482.518096117,597.034819762,50.6400834512,
394611692899.0,11998.1930648,5062.81968456,6319.40831082,3249729205.01,484.136684643,597.016004533,50.6876905179,
395748167699.0,12042.5893977,5068.68131365,6322.81792387,3257493456.48,485.760232513,596.997500087,50.7351801006,
396891236772.0,12086.9006898,5074.57603301,6326.10919032,3265258971.37,487.388712454,596.979258394,50.7825570302,
398027389642.0,12130.937541,5080.44308471,6329.57199637,3273026018.52,489.022099234,596.9613132,50.8298261708,
399172025745.0,12174.788185,5086.10011034,6332.89802601,3280794870.07,490.66036964,596.943647232,50.8769924176,
400313860745.0,12218.4166732,5091.73069596,6336.18655509,3288565801.33,492.303502456,596.926244458,50.9240606943,
401457293371.0,12262.7079463,5097.49938969,6339.61180892,3296339090.6,493.951478442,596.909104671,50.9710359512,
402607631417.0,12306.0660462,5103.25386487,6342.97946096,3304115019.06,495.604280311,596.892234808,51.0179231626,
403761025208.0,12351.0265825,5108.71409866,6346.3651547,3311893870.59,497.261892709,596.875606994,51.0647273249,
404908703386.0,12395.7650068,5114.51332716,6349.6906267,3319675931.69,498.924302192,596.859230686,51.111453454,
406058176748.0,12440.7707296,5120.35352885,6353.02615062,3327461491.28,500.591497206,596.843095909,51.1581065832,
407212845772.0,12485.7974146,5125.63322682,6356.44894859,3335250840.59,502.263468063,596.827209489,51.2046917613,
408369099276.0,12531.2197933,5131.46261889,6359.79196332,3343044273.02,503.94020692,596.811588947,51.25121405,
409527492557.0,12576.2565658,5136.99197104,6363.13795334,3350842083.99,505.621707758,596.796258761,51.2976785223,
410686809620.0,12621.8477105,5142.79540534,6366.48592498,3358644570.8,507.307966361,596.78119649,51.3440902597,
411845000250.0,12668.0711192,5148.54147968,6369.83354444,3366452032.5,508.998980292,596.766396738,51.3904543507,
413006836680.0,12714.12206,5154.53024026,6373.19024872,3374264769.75,510.694748872,596.751867826,51.4367758886,
414170828947.0,12759.6256227,5160.23522786,6376.56072336,3382083084.68,512.395273162,596.73758531,51.4830599691,
415336807044.0,12805.5373257,5165.92413382,6379.92723222,3389907280.76,514.100555935,596.723556142,51.5293116887,
416504840411.0,12850.9525208,5171.75692524,6383.21907425,3397737662.66,515.810601663,596.709779047,51.5755361424,
417671024850.0,12896.9225695,5177.35432902,6386.58323885,3405574536.09,517.525416485,596.696245657,51.6217384219,
418841784616.0,12943.6298122,5183.17334363,6389.94152095,3413418207.72,519.245008196,596.68293696,51.6679236135,
420012657759.0,12990.4093249,5188.78042295,6393.33973581,3421268984.98,520.96938622,596.669868647,51.7140967963,
421183171593.0,13036.9308513,5194.01377646,6396.65217183,3429127175.99,522.698561587,596.657025865,51.76026304,
422357425235.0,13082.8022163,5199.58083132,6399.96172633,3436993089.36,524.432546919,596.644411757,51.8064274033,
423533643549.0,13129.1409374,5205.13900697,6403.29416702,3444867034.13,526.171356402,596.632054433,51.8525949318,
424710834706.0,13175.6819696,5210.85606587,6406.67438564,3452749319.57,527.915005767,596.619928992,51.8987706564,
425888669329.0,13222.5998903,5216.49752228,6409.97794648,3460640255.08,529.66351227,596.608026384,51.9449595911,
427064127159.0,13269.8647803,5221.94741112,6413.22576214,3468540150.08,531.416894671,596.596363124,51.9911667314,
428245230829.0,13316.2769619,5227.37139645,6416.58616344,3476449313.84,533.175173211,596.584921898,52.0373970525,
429427966104.0,13363.4834387,5232.80998069,6419.91412347,3484368055.36,534.938369595,596.573707714,52.0836555076,
430614225678.0,13409.8966914,5238.19286598,6423.24679934,3492296683.27,536.706506967,596.56273398,52.1299470258,
431801061669.0,13457.2067203,5243.63075886,6426.52514225,3500235505.65,538.479609892,596.551960053,52.1762765108,
432989164519.0,13504.1406501,5249.29598382,6429.8483514,3508184829.98,540.257704334,596.54142329,52.2226488389,
434185001117.0,13550.1591489,5254.70377839,6433.20717027,3516144962.93,542.040817636,596.531085344,52.2690688575,
435372164847.0,13598.046291,5260.02396082,6436.46406006,3524116210.27,543.828978501,596.520962764,52.3155413833,
436560673207.0,13645.6901952,5265.52083409,6439.78855314,3532098876.78,545.622216968,596.511049679,52.3620712006,
437749147188.0,13692.652926,5270.85427151,6443.12256342,3540093266.06,547.420564396,596.50134191,52.40866306,
438941704368.0,13740.4115008,5276.20171801,6446.48276228,3548099680.46,549.22405344,596.491867717,52.4553216764,
440139959858.0,13788.5632367,5281.57234994,6449.81273196,3556118420.94,551.032718033,596.482599314,52.5020517277,
441330837943.0,13836.0309602,5287.19260193,6453.10900737,3564149786.93,552.846593365,596.473518966,52.5488578531,
442528900514.0,13883.6806402,5292.75839453,6456.39623084,3572194076.25,554.665715865,596.464649606,52.5957446518,
443728313996.0,13931.4389033,5298.23409966,6459.77218474,3580251584.95,556.490123175,596.455973781,52.6427166812,
444926123868.0,13979.029017,5303.7382149,6463.05139037,3588322607.23,558.319854139,596.447501315,52.6897784554,
446129516662.0,14027.2460629,5309.15247886,6466.31288668,3596407435.29,560.154948777,596.439227361,52.7369344443,
447332504363.0,14075.0379827,5314.63607962,6469.59004248,3604506359.23,561.995448264,596.431147556,52.7841890715,
448531834384.0,14123.4282633,5319.90481521,6472.90468993,3612619666.94,563.841394918,596.423265869,52.8315467131,
449740215214.0,14171.4370009,5325.4601746,6476.22425302,3620747643.98,565.692832172,596.415589604,52.8790116964,
450947019896.0,14219.2147359,5330.9690742,6479.55521418,3628890573.45,567.549804558,596.408098964,52.9265882988,
452149985924.0,14267.7850307,5336.39739937,6482.83568717,3637048735.93,569.412357691,596.400804305,52.9742807457,
453357200471.0,14316.3700495,5341.67075419,6486.07557012,3645222409.3,571.280538242,596.393701129,53.0220932101,
454572361581.0,14364.8522656,5346.82103558,6489.33512453,3653411868.7,573.154393925,596.386790884,53.0700298106,
455784272431.0,14414.3963918,5352.01204363,6492.60560891,3661617386.36,575.033973477,596.38007575,53.1180946106,
456991214321.0,14463.4507814,5357.32171553,6495.85799698,3669839231.54,576.919326634,596.373570286,53.1662916168,
458203708545.0,14512.0592936,5362.59216591,6499.15020765,3678077670.42,578.81050412,596.367246016,53.214624778,
459421332952.0,14560.6862095,5367.66458451,6502.48600839,3686332965.97,580.707557619,596.361095671,53.2630979841,
460640748731.0,14609.1323224,5372.94368601,6505.82321826,3694605377.86,582.610539765,596.355118427,53.3117150649,
